bin,xval,yval,dx,race_type
81,163.20876,0.3439,1.06129,Mar
82,164.27006,0.35965,1.06129,Mar
83,165.33135,0.37427,1.06129,Mar
84,166.39265,0.39154,1.06129,Mar
85,167.45394,0.40771,1.06129,Mar
86,168.51524,0.42464,1.06129,Mar
87,169.57653,0.44237,1.06129,Mar
88,170.63783,0.45793,1.06129,Mar
89,171.69912,0.47437,1.06129,Mar
90,172.76042,0.49068,1.06129,Mar
91,173.82171,0.50804,1.06129,Mar
92,174.88301,0.52577,1.06129,Mar
93,175.9443,0.54349,1.06129,Mar
94,177.00559,0.56111,1.06129,Mar
95,178.06689,0.57838,1.06129,Mar
96,179.12818,0.59563,1.06129,Mar
97,180.18948,0.61291,1.06129,Mar
98,181.25077,0.62996,1.06129,Mar
99,182.31207,0.6467,1.06129,Mar
100,183.37336,0.6624,1.06129,Mar
101,184.43466,0.67682,1.06129,Mar
102,185.49595,0.69192,1.06129,Mar
103,186.55725,0.70594,1.06129,Mar
104,187.61854,0.72091,1.06129,Mar
105,188.67984,0.73462,1.06129,Mar
106,189.74113,0.74686,1.06129,Mar
107,190.80243,0.75883,1.06129,Mar
108,191.86372,0.76917,1.06129,Mar
109,192.92502,0.77872,1.06129,Mar
110,193.98631,0.78859,1.06129,Mar
111,195.04761,0.79735,1.06129,Mar
112,196.1089,0.80542,1.06129,Mar
113,197.1702,0.81416,1.06129,Mar
114,198.23149,0.82259,1.06129,Mar
115,199.29278,0.83022,1.06129,Mar
116,200.35408,0.83775,1.06129,Mar
117,201.41537,0.84515,1.06129,Mar
118,202.47667,0.85226,1.06129,Mar
119,203.53796,0.85967,1.06129,Mar
120,204.59926,0.86665,1.06129,Mar
121,205.66055,0.87303,1.06129,Mar
122,206.72185,0.87888,1.06129,Mar
123,207.78314,0.88464,1.06129,Mar
124,208.84444,0.89068,1.06129,Mar
125,209.90573,0.89666,1.06129,Mar
126,210.96703,0.90203,1.06129,Mar
127,212.02832,0.90735,1.06129,Mar
128,213.08962,0.91274,1.06129,Mar
129,214.15091,0.91809,1.06129,Mar
130,215.21221,0.92273,1.06129,Mar
131,216.2735,0.92714,1.06129,Mar
132,217.3348,0.93126,1.06129,Mar
133,218.39609,0.93485,1.06129,Mar
134,219.45738,0.93893,1.06129,Mar
135,220.51868,0.94218,1.06129,Mar
136,221.57997,0.94566,1.06129,Mar
137,222.64127,0.94876,1.06129,Mar
138,223.70256,0.95125,1.06129,Mar
139,224.76386,0.95385,1.06129,Mar
140,225.82515,0.95621,1.06129,Mar
141,226.88645,0.95854,1.06129,Mar
142,227.94774,0.96084,1.06129,Mar
143,229.00904,0.96289,1.06129,Mar
144,230.07033,0.96463,1.06129,Mar
145,231.13163,0.96638,1.06129,Mar
146,232.19292,0.96797,1.06129,Mar
147,233.25422,0.96946,1.06129,Mar
148,234.31551,0.97087,1.06129,Mar
149,235.37681,0.97229,1.06129,Mar
150,236.4381,0.97366,1.06129,Mar
151,237.4994,0.97487,1.06129,Mar
152,238.56069,0.97603,1.06129,Mar
153,239.62199,0.9774,1.06129,Mar
154,240.68328,0.9787,1.06129,Mar
155,241.74457,0.97989,1.06129,Mar
156,242.80587,0.98081,1.06129,Mar
157,243.86716,0.98182,1.06129,Mar
158,244.92846,0.983,1.06129,Mar
159,245.98975,0.98412,1.06129,Mar
160,247.05105,0.98512,1.06129,Mar
161,248.11234,0.98568,1.06129,Mar
162,249.17364,0.98665,1.06129,Mar
163,250.23493,0.98763,1.06129,Mar
164,251.29623,0.98829,1.06129,Mar
165,252.35752,0.98903,1.06129,Mar
166,253.41882,0.98968,1.06129,Mar
167,254.48011,0.99044,1.06129,Mar
168,255.54141,0.99105,1.06129,Mar
169,256.6027,0.99177,1.06129,Mar
170,257.664,0.99234,1.06129,Mar
171,258.72529,0.99287,1.06129,Mar
172,259.78659,0.99342,1.06129,Mar
173,260.84788,0.99393,1.06129,Mar
174,261.90917,0.99438,1.06129,Mar
175,262.97047,1,1.06129,Mar
