meeting_id,sex,age_group,race_title,min_time
232067,2,14,10K,55.825
232067,2,15,10K,60.68333333333333
232067,1,6,10K,51.55
232067,1,4,10K,50.7
232067,1,7,10K,50.28333333333333
232067,1,8,10K,51.95
232067,1,9,10K,46.758333333333326
232067,1,10,10K,54.65833333333333
232067,1,13,10K,56.86666666666667
236203,2,6,10K,43.66666666666666
236203,2,2,10K,39.18333333333334
236203,2,4,10K,41.81666666666667
236203,2,5,10K,37.75
236203,2,7,10K,44.65
236203,2,8,10K,45.59166666666667
236203,2,9,10K,50.08333333333334
236203,2,10,10K,47.48333333333333
236203,2,11,10K,50.06666666666667
236203,2,12,10K,50.37499999999999
236203,2,13,10K,53.74166666666666
236203,2,14,10K,60.93333333333333
236203,2,15,10K,69.375
236203,1,6,10K,51.71666666666667
236203,1,3,10K,58.76666666666666
236203,1,4,10K,46.891666666666666
236203,1,5,10K,49.66666666666666
236203,1,7,10K,58.2
236203,1,8,10K,55.825
236203,1,9,10K,58.05
236203,1,10,10K,52.06666666666667
236203,1,11,10K,52.51666666666666
236203,1,12,10K,65.98333333333333
236203,1,13,10K,56.08333333333334
239334,2,6,10K,52.71666666666667
239334,2,3,10K,60.18333333333332
239334,2,4,10K,53.349999999999994
239334,2,7,10K,47.51666666666666
239334,2,8,10K,48.474999999999994
239334,2,9,10K,50.69166666666666
239334,2,10,10K,53.33333333333334
239334,2,11,10K,45.55
239334,2,12,10K,51.5
239334,2,13,10K,57.63333333333333
239334,2,14,10K,62.3
239334,2,15,10K,54.53333333333333
239334,1,6,10K,63.91666666666666
239334,1,3,10K,56.93333333333333
239334,1,4,10K,73.11666666666667
239334,1,5,10K,49.5
239334,1,7,10K,59.474999999999994
239334,1,8,10K,55.63333333333333
239334,1,9,10K,59.85
239334,1,10,10K,64.7
239334,1,11,10K,60.775
239334,1,12,10K,62.175
239334,1,13,10K,54.3
239334,1,14,10K,60.375
254490,2,6,10K,42.224999999999994
254490,2,3,10K,35.75
254490,2,4,10K,33.666666666666664
254490,2,5,10K,33.68333333333333
254490,2,7,10K,38.88333333333333
254490,2,8,10K,42.63333333333333
254490,2,9,10K,46.95
254490,2,10,10K,46.09166666666667
254490,2,11,10K,47.925
254490,2,12,10K,49.95
